"total_number","percentage_not_in_labor_force","percentage_in_labor_force","population_not_in_labor_force","unemployed_out_of_total","unemployment_rate_unemployed_labor_force","unemployment_population","year","country","population_in_labor_force","employment_population"
2087071,0.422,0.578,1206327.038,0.024,0.041522491349481,50089.704,2017,"China, People's Republic",1206327.038,1156237.334
1999729,0.432,0.568,1135846.072,0.024,0.0422535211267606,47993.496,2016,"China, People's Republic",1135846.072,1087852.576
1940450,0.429,0.571,1107996.95,0.03,0.0525394045534151,58213.5,2015,"China, People's Republic",1107996.95,1049783.45
1806178,0.43,0.57,1029521.46,0.032,0.056140350877193,57797.696,2014,"China, People's Republic",1029521.46,971723.764
1686676,0.424,0.576,971525.376,0.038,0.0659722222222222,64093.688,2013,"China, People's Republic",971525.376,907431.688
1595119,0.412,0.588,937929.972,0.04,0.0680272108843537,63804.76,2012,"China, People's Republic",937929.972,874125.212
1532443,0.4,0.6,919465.8,0.042,0.07,64362.606,2011,"China, People's Republic",919465.8,855103.194
1483852,0.385,0.615,912568.98,0.051,0.0829268292682927,75676.452,2010,"China, People's Republic",912568.98,836892.528
1320393,0.374,0.626,826566.018,0.049,0.0782747603833866,64699.257,2009,"China, People's Republic",826566.018,761866.761
1259809,0.375,0.625,787380.625,0.032,0.0512,40313.888,2008,"China, People's Republic",787380.625,747066.737
1259900,0.384,0.616,776098.4,0.026,0.0422077922077922,32757.4,2007,"China, People's Republic",776098.4,743341
10927581,0.314,0.686,7496320.566,0.03,0.043731778425656,327827.43,2017,"Mexico",7496320.566,7168493.136
11205482,0.311,0.689,7720577.098,0.034,0.0493468795355588,380986.388,2016,"Mexico",7720577.098,7339590.71
11238305,0.312,0.688,7731953.84,0.037,0.0537790697674419,415817.285,2015,"Mexico",7731953.84,7316136.555
11255566,0.311,0.689,7755084.974,0.044,0.0638606676342525,495244.904,2014,"Mexico",7755084.974,7259840.07
11064266,0.305,0.695,7689664.87,0.055,0.079136690647482,608534.63,2013,"Mexico",7689664.87,7081130.24
10996475,0.309,0.691,7598564.225,0.063,0.0911722141823444,692777.925,2012,"Mexico",7598564.225,6905786.3
11035306,0.306,0.694,7658502.364,0.071,0.102305475504323,783506.726,2011,"Mexico",7658502.364,6874995.638
10993491,0.3,0.7,7695443.7,0.077,0.11,846498.807,2010,"Mexico",7695443.7,6848944.893
10722667,0.286,0.714,7655984.238,0.075,0.105042016806723,804200.025,2009,"Mexico",7655984.238,6851784.213
10604296,0.284,0.716,7592675.936,0.045,0.0628491620111732,477193.32,2008,"Mexico",7592675.936,7115482.616
10854821,0.299,0.701,7609229.521,0.041,0.0584878744650499,445047.661,2007,"Mexico",7609229.521,7164181.86
2450090,0.299,0.701,1717513.09,0.025,0.0356633380884451,61252.25,2017,"India",1717513.09,1656260.84
2284756,0.303,0.697,1592474.932,0.028,0.0401721664275466,63973.168,2016,"India",1592474.932,1528501.764
2284756,0.303,0.697,1592474.932,0.028,0.0401721664275466,63973.168,2015,"India",1592474.932,1528501.764
2080625,0.307,0.693,1441873.125,0.031,0.0447330447330447,64499.375,2014,"India",1441873.125,1377373.75
1930328,0.301,0.699,1349299.272,0.036,0.0515021459227468,69491.808,2013,"India",1349299.272,1279807.464
1868030,0.287,0.713,1331905.39,0.038,0.0532959326788219,70985.14,2012,"India",1331905.39,1260920.25
1760103,0.291,0.709,1247913.027,0.043,0.0606488011283498,75684.429,2011,"India",1247913.027,1172228.598
1686345,0.286,0.714,1204050.33,0.049,0.0686274509803922,82630.905,2010,"India",1204050.33,1121419.425
1572920,0.279,0.721,1134075.32,0.048,0.0665742024965326,75500.16,2009,"India",1134075.32,1058575.16
1527075,0.28,0.72,1099494,0.032,0.0444444444444444,48866.4,2008,"India",1099494,1050627.6
1423222,0.299,0.701,997678.622,0.029,0.0413694721825963,41273.438,2007,"India",997678.622,956405.184
653818,0.365,0.635,415174.43,0.026,0.0409448818897638,16999.268,2017,"Korea, South",415174.43,398175.162
