"total_number","percentage_less_than_very_well","percentage_very_well","population_very_well","year","country"
1335491,0.657,0.343,458073.413,2007,"China, People's Republic"
1259809,0.653,0.347,437153.723,2008,"China, People's Republic"
1405513,0.656,0.344,483496.472,2009,"China, People's Republic"
1586183,0.655,0.345,547233.135,2010,"China, People's Republic"
1630620,0.66,0.34,554410.8,2011,"China, People's Republic"
1692730,0.654,0.346,585684.58,2012,"China, People's Republic"
1784035,0.64,0.36,642252.6,2013,"China, People's Republic"
1908409,0.644,0.356,679393.604,2014,"China, People's Republic"
2045643,0.64,0.36,736431.48,2015,"China, People's Republic"
2108136,0.63,0.37,780010.32,2016,"China, People's Republic"
2196105,0.587,0.413,906991.365,2017,"China, People's Republic"
11652431,0.746,0.254,2959717.474,2007,"Mexico"
11335342,0.739,0.261,2958524.262,2008,"Mexico"
11417822,0.731,0.269,3071394.118,2009,"Mexico"
11653282,0.72,0.28,3262918.96,2010,"Mexico"
11625174,0.707,0.293,3406175.982,2011,"Mexico"
11520327,0.694,0.306,3525220.062,2012,"Mexico"
11543930,0.694,0.306,3532442.58,2013,"Mexico"
11668379,0.691,0.309,3605529.111,2014,"Mexico"
11595783,0.686,0.314,3641075.862,2015,"Mexico"
11525422,0.683,0.317,3653558.774,2016,"Mexico"
11220565,0.668,0.332,3725227.58,2017,"Mexico"
1486839,0.264,0.736,1094313.504,2007,"India"
1600631,0.281,0.719,1150853.689,2008,"India"
1644643,0.279,0.721,1185787.603,2009,"India"
1759573,0.268,0.732,1288007.436,2010,"India"
1831886,0.271,0.729,1335444.894,2011,"India"
1943699,0.258,0.742,1442224.658,2012,"India"
2003597,0.258,0.742,1486668.974,2013,"India"
2168723,0.265,0.735,1594011.405,2014,"India"
2391599,0.258,0.742,1774566.458,2015,"India"
2391599,0.251,0.749,1791307.651,2016,"India"
2568347,0.235,0.765,1964785.455,2017,"India"
525448,0.577,0.423,222264.504,2007,"Korea, South"
496468,0.576,0.424,210502.432,2008,"Korea, South"
521874,0.562,0.438,228580.812,2009,"Korea, South"
617829,0.548,0.452,279258.708,2010,"Korea, South"
619193,0.552,0.448,277398.464,2011,"Korea, South"
609029,0.542,0.458,278935.282,2012,"Korea, South"
596717,0.52,0.48,286424.16,2013,"Korea, South"
618667,0.534,0.466,288298.822,2014,"Korea, South"
634173,0.508,0.492,312013.116,2015,"Korea, South"
606739,0.508,0.492,298515.588,2016,"Korea, South"
678496,0.498,0.502,340604.992,2017,"Korea, South"
1694055,0.293,0.707,1197696.885,2007,"Philippines"
1676684,0.304,0.696,1166972.064,2008,"Philippines"
1718717,0.301,0.699,1201383.183,2009,"Philippines"
1769924,0.299,0.701,1240716.724,2010,"Philippines"
1807460,0.312,0.688,1243532.48,2011,"Philippines"
1861374,0.299,0.701,1304823.174,2012,"Philippines"
1837556,0.303,0.697,1280776.532,2013,"Philippines"
1919306,0.296,0.704,1351191.424,2014,"Philippines"
1975723,0.304,0.696,1375103.208,2015,"Philippines"
1936171,0.302,0.698,1351447.358,2016,"Philippines"
2002187,0.29,0.71,1421552.77,2017,"Philippines"
980542,0.625,0.375,367703.25,2007,"Cuba"
972241,0.616,0.384,373340.544,2008,"Cuba"
988872,0.628,0.372,367860.384,2009,"Cuba"
1102185,0.633,0.367,404501.895,2010,"Cuba"
1093068,0.623,0.377,412086.636,2011,"Cuba"
1110111,0.616,0.384,426282.624,2012,"Cuba"
1140460,0.62,0.38,433374.8,2013,"Cuba"
1169859,0.624,0.376,439866.984,2014,"Cuba"
1206739,0.626,0.374,451320.386,2015,"Cuba"
1267478,0.642,0.358,453757.124,2016,"Cuba"
1306572,0.63,0.37,483431.64,2017,"Cuba"
528122,0.516,0.484,255611.048,2007,"Haiti"
531394,0.538,0.462,245504.028,2008,"Haiti"
535578,0.554,0.446,238867.788,2009,"Haiti"
583862,0.531,0.469,273831.278,2010,"Haiti"
589485,0.527,0.473,278826.405,2011,"Haiti"
602679,0.536,0.464,279643.056,2012,"Haiti"
591530,0.518,0.482,285117.46,2013,"Haiti"
624710,0.504,0.496,309856.16,2014,"Haiti"
673081,0.508,0.492,331155.852,2015,"Haiti"
664533,0.484,0.516,342899.028,2016,"Haiti"
676130,0.484,0.516,348883.08,2017,"Haiti"
1094436,0.68,0.32,350219.52,2007,"Vietnam"
1133760,0.674,0.326,369605.76,2008,"Vietnam"
1145611,0.676,0.324,371177.964,2009,"Vietnam"
1235940,0.68,0.32,395500.8,2010,"Vietnam"
1254248,0.682,0.318,398850.864,2011,"Vietnam"
1255105,0.675,0.325,407909.125,2012,"Vietnam"
1274976,0.664,0.336,428391.936,2013,"Vietnam"
1286517,0.671,0.329,423264.093,2014,"Vietnam"
1293831,0.677,0.323,417907.413,2015,"Vietnam"
1347197,0.668,0.332,447269.404,2016,"Vietnam"
1337734,0.659,0.341,456167.294,2017,"Vietnam"
751872,0.664,0.336,252628.992,2007,"Dominican Republic"
768219,0.658,0.342,262730.898,2008,"Dominican Republic"
789852,0.672,0.328,259071.456,2009,"Dominican Republic"
876050,0.656,0.344,301361.2,2010,"Dominican Republic"
891417,0.658,0.342,304864.614,2011,"Dominican Republic"
949654,0.654,0.346,328580.284,2012,"Dominican Republic"
985108,0.647,0.353,347743.124,2013,"Dominican Republic"
989800,0.64,0.36,356328,2014,"Dominican Republic"
1056080,0.646,0.354,373852.32,2015,"Dominican Republic"
1078041,0.643,0.357,384860.637,2016,"Dominican Republic"
