GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Foreign-born population
HC01_MOE_VC01,Total; Margin of Error; Foreign-born population
HC02_EST_VC01,Foreign born; Born in Asia; Estimate; Foreign-born population
HC02_MOE_VC01,Foreign born; Born in Asia; Margin of Error; Foreign-born population
HC03_EST_VC01,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population
HC03_MOE_VC01,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population
HC04_EST_VC01,Foreign born; Born in South Central Asia; Estimate; Foreign-born population
HC04_MOE_VC01,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population
HC05_EST_VC01,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population
HC05_MOE_VC01,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population
HC06_EST_VC01,Foreign born; Born in Western Asia; Estimate; Foreign-born population
HC06_MOE_VC01,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population
HC01_EST_VC03,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC01_MOE_VC03,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC02_EST_VC03,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC02_MOE_VC03,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC03_EST_VC03,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC03_MOE_VC03,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC04_EST_VC03,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC04_MOE_VC03,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC05_EST_VC03,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC05_MOE_VC03,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC06_EST_VC03,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC06_MOE_VC03,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC01_EST_VC04,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC01_MOE_VC04,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC02_EST_VC04,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC02_MOE_VC04,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC03_EST_VC04,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC03_MOE_VC04,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC04_EST_VC04,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC04_MOE_VC04,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC05_EST_VC04,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC05_MOE_VC04,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC06_EST_VC04,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC06_MOE_VC04,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 or later
HC01_EST_VC05,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC01_MOE_VC05,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC02_EST_VC05,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC02_MOE_VC05,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
