GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Total living in area 1 year ago: - Native,Margin of Error; Total living in area 1 year ago: - Native,Estimate; Total living in area 1 year ago: - Foreign born:,Margin of Error; Total living in area 1 year ago: - Foreign born:,Estimate; Total living in area 1 year ago: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total living in area 1 year ago: - Foreign born: - Naturalized U.S. citizen,Estimate; Total living in area 1 year ago: - Foreign born: - Not a U.S. citizen,Margin of Error; Total living in area 1 year ago: - Foreign born: - Not a U.S. citizen,Estimate; Total living in area 1 year ago: - Same house:,Margin of Error; Total living in area 1 year ago: - Same house:,Estimate; Total living in area 1 year ago: - Same house: - Native,Margin of Error; Total living in area 1 year ago: - Same house: - Native,Estimate; Total living in area 1 year ago: - Same house: - Foreign born:,Margin of Error; Total living in area 1 year ago: - Same house: - Foreign born:,Estimate; Total living in area 1 year ago: - Same house: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total living in area 1 year ago: - Same house: - Foreign born: - Naturalized U.S. citizen,Estimate; Total living in area 1 year ago: - Same house: - Foreign born: - Not a U.S. citizen,Margin of Error; Total living in area 1 year ago: - Same house: - Foreign born: - Not a U.S. citizen,Estimate; Total living in area 1 year ago: - Moved within same county:,Margin of Error; Total living in area 1 year ago: - Moved within same county:,Estimate; Total living in area 1 year ago: - Moved within same county: - Native,Margin of Error; Total living in area 1 year ago: - Moved within same county: - Native,Estimate; Total living in area 1 year ago: - Moved within same county: - Foreign born:,Margin of Error; Total living in area 1 year ago: - Moved within same county: - Foreign born:,Estimate; Total living in area 1 year ago: - Moved within same county: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved within same county: - Foreign born: - Naturalized U.S. citizen,Estimate; Total living in area 1 year ago: - Moved within same county: - Foreign born: - Not a U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved within same county: - Foreign born: - Not a U.S. citizen,Estimate; Total living in area 1 year ago: - Moved to different county within same state:,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state:,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - Native,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - Native,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born:,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born:,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born: - Naturalized U.S. citizen,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born: - Not a U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - Foreign born: - Not a U.S. citizen,Estimate; Total living in area 1 year ago: - Moved to different state:,Margin of Error; Total living in area 1 year ago: - Moved to different state:,Estimate; Total living in area 1 year ago: - Moved to different state: - Native,Margin of Error; Total living in area 1 year ago: - Moved to different state: - Native,Estimate; Total living in area 1 year ago: - Moved to different state: - Foreign born:,Margin of Error; Total living in area 1 year ago: - Moved to different state: - Foreign born:,Estimate; Total living in area 1 year ago: - Moved to different state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved to different state: - Foreign born: - Naturalized U.S. citizen,Estimate; Total living in area 1 year ago: - Moved to different state: - Foreign born: - Not a U.S. citizen,Margin of Error; Total living in area 1 year ago: - Moved to different state: - Foreign born: - Not a U.S. citizen
0400000US01,01,Alabama,4795339,12304,4629479,14670,165860,6549,67921,5070,97939,6301,4158224,20321,4018333,21971,139891,6878,59315,4823,80576,6087,387796,17237,375217,16864,12579,2433,3830,940,8749,2112,147853,8260,141801,7896,6052,1638,2201,904,3851,1453,101466,8690,94128,8049,7338,2158,2575,978,4763,1767
0400000US02,02,Alaska,736944,7515,679863,8472,57081,4141,32968,2786,24113,3448,595804,9147,548921,9301,46883,3566,27988,2482,18895,3123,81244,8051,75414,7749,5830,1811,2546,939,3284,1579,16924,2747,16250,2789,674,453,118,129,556,446,42972,5364,39278,5012,3694,1161,2316,887,1378,631
0400000US04,04,Arizona,6791523,16060,5900937,22265,890586,18647,395595,12135,494991,15507,5717189,24333,4941624,29545,775565,16167,354293,11449,421272,13661,782513,20899,695341,19949,87172,6929,31254,3147,55918,6520,128607,9918,117736,9427,10871,2149,4141,1353,6730,1430,163214,11408,146236,10297,16978,3658,5907,1203,11071,3306
0400000US05,05,Arkansas,2949876,12055,2812441,13582,137435,5425,44695,4339,92740,5438,2509717,16654,2387393,17690,122324,5509,40539,4016,81785,5527,253819,13710,247107,13474,6712,1816,2047,854,4665,1440,116490,8062,112427,7851,4063,1342,1217,596,2846,1023,69850,6892,65514,6566,4336,1494,892,630,3444,1392
0400000US06,06,California,38905127,33782,28489318,56391,10415809,48587,5482264,38542,4933545,44526,34009331,68358,24640068,69821,9369263,51691,5060808,38591,4308455,42014,3153923,52596,2412987,41340,740936,22291,296275,12353,444661,17925,1080847,29010,876364,24151,204483,10494,85379,5895,119104,8307,661026,18084,559899,16300,101127,6308,39802,3508,61325,5337
0400000US08,08,Colorado,5475207,19640,4945128,21687,530079,11779,232401,8031,297678,10028,4546729,22932,4096507,21514,450222,11555,203971,7613,246251,9938,456750,17287,415377,15775,41373,4322,15573,2998,25800,3537,277432,11203,253715,9473,23717,4425,6480,1143,17237,4134,194296,13350,179529,12277,14767,3529,6377,1607,8390,2890
0400000US09,09,Connecticut,3547363,11779,3032752,15738,514611,12391,271174,10145,243437,10539,3136666,16246,2685849,15301,450817,12331,248349,10003,202468,10012,243216,12272,201643,10162,41573,5385,15125,2585,26448,4493,68510,6358,60577,5915,7933,1957,3167,1073,4766,1699,98971,7408,84683,6465,14288,2761,4533,1174,9755,2274
0400000US10,10,Delaware,945556,6876,849636,10213,95920,6851,45654,4277,50266,4971,830905,8792,746820,11310,84085,6250,42098,4078,41987,4633,68559,6552,61393,6160,7166,2421,1895,784,5271,2100,10439,3028,9643,2906,796,513,410,422,386,295,35653,4776,31780,4164,3873,1732,1251,642,2622,1515
0400000US11,11,District of Columbia,683256,7079,584645,8682,98611,5767,38926,3022,59685,5198,554225,7670,471334,8274,82891,5498,33165,2932,49726,5049,64013,6510,58163,6161,5850,1502,2197,810,3653,1214,0,198,0,198,0,198,0,198,0,198,65018,5748,55148,4860,9870,2709,3564,1224,6306,2470
